"","x"
"1850",710135
"1851",709932
"1852",709931
"1853",709912
"1854",709897
"1855",709896
"1856",709895
"1857",709894
"1858",709893
"1859",709761
"1860",709736
"1861",709735
"1862",709734
"1863",709733
"1864",709676
"1865",709675
"1866",709674
"1867",709673
"1868",709672
"1869",709671
"1870",709670
"1871",709669
"1872",709668
"1873",709667
"1874",709666
"1875",709665
"1876",709664
"1877",709663
"1878",709662
"1879",709661
"1880",709660
"1881",709659
"1882",709658
"1883",709657
"1884",709656
"1885",709655
"1886",709654
"1887",709653
"1888",709652
"1889",709651
"1890",709650
"1891",709649
"1892",709648
"1893",709647
"1894",709646
"1895",709645
"1896",709644
"1897",709643
"1898",709642
"1899",709641
"1900",709640
"1901",709639
"1902",709638
"1903",709146
"1904",709079
"1905",708853
"1906",708635
"1907",708634
"1908",708633
"1909",708632
"1910",708595
"1911",708594
"1912",708593
"1913",708592
"1914",708591
"1915",708590
"1916",708589
"1917",708588
"1918",708587
"1919",708586
"1920",708585
"1921",707932
"1922",707931
"1923",707888
"1924",707738
"1925",707363
"1926",707354
"1927",707353
"1928",707352
"1929",707351
"1930",707350
"1931",707349
"1932",707348
"1933",707347
"1934",707346
"1935",707345
"1936",707344
"1937",707343
"1938",707310
"1939",707309
"1940",707308
"1941",707307
"1942",707306
"1943",707305
"1944",707304
"1945",707303
"1946",707211
"1947",707210
"1948",707209
"1949",707098
"1950",706458
"1951",706457
"1952",706455
"1953",706454
"1954",706453
"1955",706302
"1956",706301
"1957",706300
"1958",706299
"1959",706298
"1960",706062
"1961",705805
"1962",705729
"1963",705728
"1964",705015
"1965",705014
"1966",704633
"1967",704582
"1968",704581
"1969",704580
"1970",704579
"1971",704578
"1972",704577
"1973",704576
"1974",704575
"1975",704574
"1976",704573
"1977",704572
"1978",704571
"1979",704570
"1980",704569
"1981",704568
"1982",704567
"1983",704566
"1984",704565
"1985",704564
"1986",704563
"1987",704562
"1988",704561
"1989",704560
"1990",704559
"1991",704558
"1992",704557
"1993",704426
"1994",704425
